Closed,Name,City,Market
9/1/2022,Frates Ln & Donner Pass Rd-Truckee,Truckee,California\LakeTahoe
8/1/2022,Great Mall - Door 1,Milpitas,California\SantaClaraCounty
2/21/2022,Encinitas Ranch - Barnes & Noble,Encinitas,California\SanDiego
2/11/2022,50th & Chipman,Lees Summit,Missouri\KansasCity
2/6/2022,Santa Monica & Fairfax,West Hollywood,California\WestLosAngeles
2/3/2022,4th & Seneca,Seattle,Washington\Seattle
1/30/2022,Downtown Disney West II,Anaheim,California\OrangeCounty
1/23/2022,Westfield Valencia Town Cntr -Lvl 1,Santa Clarita,California\SantaClarita
1/16/2022,Wellington Mall,Wellington,Florida\PalmBeachCounty
1/16/2022,Bay Area & Gateway - Barnes & Noble,Webster,Texas\Houston
1/1/2022,119th St. & Hwy 69,Overland Park,Kansas\KansasCityKansas
1/1/2022,Deer Park Town Center,Deer Park,Illinois\Chicagoland
12/31/2021,Smithtown,Smithtown,NewYork\LongIsland
12/27/2021,"Erie, State Street",Erie,Pennsylvania\PennsylvaniaRemoteMarkets
12/23/2021,Somerset Collection - South,Troy,Michigan\Detroit
12/22/2021,"Genesee & Nobel Dr., San Diego",San Diego,California\SanDiego
12/15/2021,65th & Broadway,Sacramento,California\Sacramento
12/12/2021,Hwy 287 & Miramonte,Broomfield,Colorado\Denver
12/12/2021,Whitesburg Dr at Governors Dr,Huntsville,Alabama\Huntsville
12/3/2021,3rd and Jefferson,Portland,Oregon\Portland
12/1/2021,Via Addison,Delray Beach,Florida\PalmBeachCounty
12/1/2021,Sayville,Sayville,NewYork\LongIsland
12/1/2021,Arden & Morse,Sacramento,California\Sacramento
12/1/2021,52nd Btwn Fifth & Sixth,New York,NewYork\NewYorkCity
12/1/2021,"Sandpoint, ID",Sandpoint,Idaho\NorthernIdaho
12/1/2021,Jeanne Mance & Ste-Catherine,Montreal,Quebec\Montreal
11/28/2021,Outlets of Little Rock,Little Rock,Arkansas
11/21/2021,Harvard Yard,Cambridge,Massachusetts\Boston
11/19/2021,Charlotte Plaza,Charlotte,NorthCarolina\Charlotte
11/19/2021,16th & California- Denver,Denver,Colorado\Denver
